0.000000000000000000e+00,0.000000000000000000e+00
-1.388855641449167344e-01,-3.405583756345181151e-02
-2.605341290793999343e-01,-1.340558375634517685e-01
-2.926037348490795886e-01,-2.800143824027072070e-01
-2.527030211439491025e-01,-4.256362098138747330e-01
-1.380170864257508068e-01,-5.375651438240269808e-01
0.000000000000000000e+00,-5.909999999999999698e-01
1.526909370521609133e-01,-5.812800338409475076e-01
2.640868727689499318e-01,-4.892791878172588760e-01
2.918393428044868121e-01,-3.292868020304567378e-01
2.482252001711348910e-01,-1.755000000000000171e-01
1.558556133805331645e-01,-5.416666666666666852e-02
